Date - Time,Lat,Long,Depth,Mag,Location,
29 December 2019 - 10:20 PM,7.1,125.24,21,2,015 km N 87° E of Magpet (Cotabato),
29 December 2019 - 10:10 PM,6.68,125.42,33,2,007 km S 68° E of Hagonoy (Davao Del Sur),
29 December 2019 - 10:00 PM,6.84,125.14,34,2,009 km N 53° W of Bansalan (Davao Del Sur),
29 December 2019 - 09:53 PM,4.46,125.23,75,3.3,111 km S 14° W of Sarangani (Davao Occidental),
29 December 2019 - 09:32 PM,13.98,120.47,211,2.7,020 km S 54° W of Nasugbu (Batangas),
29 December 2019 - 09:17 PM,4.39,125.44,17,4.1,116 km S 02° W of Sarangani (Davao Occidental),
29 December 2019 - 08:03 PM,4.56,125.32,38,4.5,098 km S 10° W of Sarangani (Davao Occidental),
29 December 2019 - 07:43 PM,19,121.28,6,2.6,036 km S 32° W of Calayan (Cagayan),
29 December 2019 - 07:26 PM,5.82,124.61,25,1.8,019 km S 05° W of Kiamba (Sarangani),
29 December 2019 - 06:24 PM,6.44,125.14,27,2.7,023 km S 19° W of Kiblawan (Davao Del Sur),
29 December 2019 - 05:12 PM,4.81,125.37,14,4.9,070 km S 09° W of Sarangani (Davao Occidental),
29 December 2019 - 03:50 PM,10.22,125.97,8,2.3,025 km N 28° W of Burgos (Surigao Del Norte),
29 December 2019 - 03:01 PM,6.51,125.41,12,1.9,013 km S 34° E of Sulop (Davao Del Sur),
29 December 2019 - 12:57 PM,9.8,126.07,45,2,005 km N 32° E of Dapa (Surigao Del Norte),
29 December 2019 - 12:38 PM,6.57,125.34,16,2.4,003 km S 16° W of Sulop (Davao Del Sur),
29 December 2019 - 12:21 PM,6.51,125.29,8,3.7,011 km S 34° W of Sulop (Davao Del Sur),
29 December 2019 - 11:52 AM,6.41,125.22,23,2.5,017 km N 14° W of Malungon (Sarangani),
29 December 2019 - 11:47 AM,6.52,125.28,12,3.4,011 km S 39° W of Sulop (Davao Del Sur),
